recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
"Butter, stick",1 cup,224.0,21.0,0.06,0.06,82.2,2.0,0.85,524.0,758.0,0.0,0.4,0.1344,1.9040000000000001,184.128,47.04,0.1344,4.48,1173.76,0.0,0.8960000000000001,1697.92
"Butter, tub",Quantity not specified,14.0,23.0,0.0,0.05,78.3,1.0,0.49,583.0,683.0,0.0,0.0,0.0,0.0686,10.962,3.22,0.007000000000000001,0.14,81.62,0.0,0.0,95.62
Buttermilk,1 cup,244.0,120.0,4.81,0.01,1.08,11.0,3.46,92.0,36.0,1.0,0.5,11.736399999999998,8.4424,2.6352,292.8,0.024399999999999998,26.84,224.48,2.44,1.22,87.84
"Cabbage salad, NFS",Quantity not specified,110.0,32.0,8.93,0.09,0.8,11.0,0.79,269.0,75.0,26.6,0.0,9.823,0.8690000000000001,0.88,35.2,0.099,12.1,295.9,29.26,0.0,82.5
Cabbage with ham hocks,Quantity not specified,150.0,32.0,4.9,0.43,2.58,17.0,7.75,344.0,5.0,23.8,0.3,7.35,11.625,3.87,48.0,0.645,25.5,516.0,35.7,0.45,7.5
"Cabbage, Chinese, cooked, fat added",1 cup,175.0,106.0,2.2,0.81,2.85,19.0,1.52,192.0,225.0,38.6,0.0,3.8500000000000005,2.66,4.9875,185.5,1.4175,33.25,336.0,67.55,0.0,393.75
"Cabbage, Chinese, cooked, no added fat",1 cup,170.0,109.0,2.26,0.83,0.21,20.0,1.56,188.0,220.0,39.7,0.0,3.842,2.6519999999999997,0.357,185.3,1.411,34.0,319.6,67.49000000000001,0.0,374.0
"Cabbage, Chinese, raw",Quantity not specified,45.0,105.0,2.18,0.8,0.2,19.0,1.5,65.0,223.0,45.0,0.0,0.9810000000000001,0.675,0.09,47.25,0.36,8.55,29.25,20.25,0.0,100.35
"Cabbage, green, cooked with butter or margarine",Quantity not specified,78.0,43.0,6.44,0.07,2.51,14.0,0.99,151.0,28.0,34.5,0.1,5.0232,0.7722,1.9577999999999998,33.54,0.05460000000000001,10.92,117.78,26.91,0.07800000000000001,21.84
"Cabbage, green, cooked with oil",1 cup,155.0,43.0,6.43,0.08,3.26,14.0,0.97,133.0,5.0,34.5,0.0,9.9665,1.5034999999999998,5.053,66.65,0.124,21.7,206.15,53.475,0.0,7.75
"Cabbage, green, cooked, fat added, NS as to fat type",Quantity not specified,78.0,43.0,6.44,0.07,2.88,14.0,0.98,142.0,17.0,34.5,0.0,5.0232,0.7644,2.2464,33.54,0.05460000000000001,10.92,110.76,26.91,0.0,13.26
"Cabbage, green, cooked, no added fat",Quantity not specified,75.0,44.0,6.63,0.07,0.24,15.0,1.0,137.0,5.0,35.6,0.0,4.9725,0.75,0.18,33.0,0.05250000000000001,11.25,102.75,26.7,0.0,3.75
"Cabbage, green, pickled",Quantity not specified,30.0,37.0,10.15,0.06,0.21,12.0,0.8,957.0,4.0,28.4,0.0,3.045,0.24,0.063,11.1,0.018,3.6,287.1,8.52,0.0,1.2
"Cabbage, green, raw",1 cup,90.0,42.0,6.38,0.07,0.23,14.0,0.96,16.0,5.0,40.3,0.0,5.742000000000001,0.8639999999999999,0.207,37.8,0.063,12.6,14.4,36.269999999999996,0.0,4.5
"Cabbage, red, cooked",Quantity not specified,78.0,32.0,6.85,0.0,2.86,13.0,1.26,138.0,65.0,46.2,0.0,5.343,0.9828,2.2308,24.96,0.0,10.14,107.64,36.036,0.0,50.7
"Cabbage, red, pickled",Quantity not specified,30.0,27.0,10.49,0.0,0.19,11.0,1.03,954.0,44.0,38.0,0.0,3.147,0.309,0.057,8.1,0.0,3.3,286.2,11.4,0.0,13.2
"Cabbage, red, raw",1 head,840.0,31.0,6.79,0.0,0.21,13.0,1.24,12.0,56.0,53.9,0.0,57.036,10.415999999999999,1.764,260.4,0.0,109.2,100.8,452.76,0.0,470.4
"Cabbage, savoy, cooked",Quantity not specified,78.0,36.0,6.16,0.41,2.75,28.0,2.02,154.0,60.0,26.6,0.0,4.8048,1.5756000000000001,2.145,28.08,0.3198,21.84,120.12,20.748,0.0,46.8
"Cactus, cooked, fat added",Quantity not specified,78.0,159.0,3.23,0.57,2.63,50.0,1.29,141.0,33.0,7.7,0.0,2.5194,1.0062,2.0513999999999997,124.02,0.44459999999999994,39.0,109.98,6.006,0.0,25.74
"Cactus, cooked, no added fat",1 pad,30.0,164.0,3.32,0.59,0.09,52.0,1.32,137.0,22.0,7.9,0.0,0.996,0.396,0.026999999999999996,49.2,0.177,15.6,41.1,2.37,0.0,6.6
"Cactus, raw",1 cup,150.0,164.0,3.33,0.59,0.09,52.0,1.32,21.0,23.0,9.3,0.0,4.995,1.98,0.135,246.0,0.885,78.0,31.5,13.95,0.0,34.5
Caesar dressing,Quantity not specified,29.0,48.0,3.3,1.08,57.85,2.0,2.17,1209.0,9.0,0.3,0.1,0.9569999999999999,0.6293,16.776500000000002,13.92,0.3132,0.58,350.61,0.087,0.029000000000000005,2.61
"Caesar dressing, fat free",1 tablespoon,14.0,33.0,30.73,0.29,0.23,4.0,1.47,1265.0,1.0,0.1,0.0,4.3022,0.20579999999999998,0.0322,4.62,0.0406,0.56,177.1,0.014000000000000002,0.0,0.14
"Caesar dressing, light",Quantity not specified,30.0,24.0,18.6,0.18,4.4,2.0,0.3,1148.0,1.0,0.0,0.0,5.58,0.09,1.32,7.2,0.05399999999999999,0.6,344.4,0.0,0.0,0.3
"Caesar salad, with romaine, no dressing",Quantity not specified,79.0,108.0,7.49,0.4,3.41,15.0,4.0,238.0,398.0,4.0,0.0,5.9171000000000005,3.16,2.6938999999999997,85.32,0.316,11.85,188.02,3.16,0.0,314.42
Cake made with glutinous rice,1 oz,28.35,23.0,53.57,0.52,6.51,16.0,2.49,36.0,0.0,0.3,0.0,15.187095000000001,0.7059150000000001,1.845585,6.520500000000001,0.14742,4.5360000000000005,10.206,0.08505000000000001,0.0,0.0
Cake made with glutinous rice and dried beans,1 piece,16.0,34.0,36.09,0.93,0.6,37.0,7.76,942.0,0.0,0.0,0.0,5.774400000000001,1.2416,0.096,5.44,0.14880000000000002,5.92,150.72,0.0,0.0,0.0
"Cake or cupcake, Black Forest","1 piece/slice, any size",200.0,84.0,31.32,1.2,10.66,21.0,3.49,214.0,49.0,0.6,0.3,62.64,6.98,21.32,168.0,2.4,42.0,428.0,1.2,0.6,98.0
"Cake or cupcake, German chocolate","1 piece/slice, any size",200.0,71.0,49.94,1.77,17.6,30.0,3.7,297.0,19.0,0.0,0.3,99.88,7.4,35.2,142.0,3.54,60.0,594.0,0.0,0.6,38.0
"Cake or cupcake, NFS","1 piece/slice, any size",175.0,70.0,53.6,1.3,14.77,15.0,2.84,304.0,19.0,0.0,0.3,93.8,4.97,25.8475,122.5,2.275,26.25,532.0,0.0,0.525,33.25
"Cake or cupcake, apple",1 cup,120.0,71.0,52.52,0.9,17.5,5.0,2.41,280.0,21.0,0.2,0.3,63.02400000000001,2.8920000000000003,21.0,85.2,1.08,6.0,336.0,0.24,0.36,25.2
"Cake or cupcake, banana",1 cup,120.0,71.0,53.07,0.88,17.51,8.0,2.47,280.0,21.0,1.0,0.3,63.684,2.9640000000000004,21.012000000000004,85.2,1.056,9.6,336.0,1.2,0.36,25.2
"Cake or cupcake, carrot","1 cupcake, any size",90.0,73.0,51.8,0.9,17.52,6.0,2.49,288.0,100.0,0.5,0.3,46.62,2.241,15.767999999999999,65.7,0.81,5.4,259.2,0.45,0.27,90.0
"Cake or cupcake, chocolate with chocolate icing, bakery",1 regular cupcake,90.0,70.0,52.25,1.73,15.2,26.0,3.29,295.0,19.0,0.0,0.3,47.025,2.9610000000000003,13.68,63.0,1.557,23.4,265.5,0.0,0.27,17.1
"Cake or cupcake, chocolate with chocolate icing, from mix","1 large piece/slice, 1 layer cake",150.0,75.0,51.25,1.76,14.98,26.0,3.49,305.0,21.0,0.0,0.3,76.875,5.235,22.47,112.5,2.64,39.0,457.5,0.0,0.45,31.5
"Cake or cupcake, chocolate with white icing, bakery",1 cup,100.0,67.0,54.36,1.16,14.58,17.0,2.79,296.0,19.0,0.0,0.3,54.36,2.79,14.58,67.0,1.16,17.0,296.0,0.0,0.3,19.0
"Cake or cupcake, chocolate with white icing, from mix","1 large piece/slice, 2+ layer cake",225.0,73.0,53.13,1.25,14.43,18.0,3.05,306.0,21.0,0.0,0.3,119.5425,6.8625,32.4675,164.25,2.8125,40.5,688.5,0.0,0.675,47.25
"Cake or cupcake, chocolate, no icing",Quantity not specified,65.0,120.0,43.28,1.98,13.24,30.0,5.08,387.0,34.0,0.0,0.5,28.132,3.302,8.606,78.0,1.287,19.5,251.55,0.0,0.325,22.1
"Cake or cupcake, coconut","1 piece/slice, any size",200.0,64.0,54.52,0.94,15.68,9.0,2.5,311.0,17.0,0.0,0.2,109.04,5.0,31.36,128.0,1.88,18.0,622.0,0.0,0.4,34.0
"Cake or cupcake, gingerbread","1 piece/slice, any size",115.0,62.0,45.34,2.98,9.16,14.0,3.64,411.0,14.0,0.1,0.2,52.141000000000005,4.186,10.534,71.3,3.427,16.1,472.65,0.115,0.23,16.1
"Cake or cupcake, gluten free",Quantity not specified,175.0,29.0,37.93,1.7,29.42,50.0,4.87,119.0,179.0,0.0,0.7,66.3775,8.5225,51.485,50.75,2.975,87.5,208.25,0.0,1.2249999999999999,313.25
"Cake or cupcake, lemon","1 piece/slice, any size",175.0,70.0,51.9,0.87,13.53,5.0,2.42,304.0,19.0,1.9,0.3,90.825,4.235,23.6775,122.5,1.5225,8.75,532.0,3.325,0.525,33.25
"Cake or cupcake, marble","1 cupcake, any size",90.0,71.0,52.57,1.57,15.06,19.0,3.07,305.0,19.0,0.0,0.3,47.313,2.763,13.554,63.9,1.413,17.1,274.5,0.0,0.27,17.1
"Cake or cupcake, peanut butter","1 cupcake, any size",90.0,74.0,47.52,1.4,19.85,42.0,6.12,332.0,19.0,0.0,0.3,42.768,5.507999999999999,17.865000000000002,66.6,1.2599999999999998,37.8,298.8,0.0,0.27,17.1
"Cake or cupcake, pumpkin","1 cupcake, any size",90.0,73.0,51.58,1.02,17.51,7.0,2.5,280.0,95.0,0.4,0.3,46.422,2.25,15.759,65.7,0.9179999999999999,6.3,252.0,0.36,0.27,85.5
"Cake or cupcake, red velvet","1 piece/slice, any size",200.0,67.0,54.36,1.16,14.58,17.0,2.79,296.0,19.0,0.0,0.3,108.72,5.58,29.16,134.0,2.32,34.0,592.0,0.0,0.6,38.0
"Cake or cupcake, spice","1 piece/slice, any size",175.0,78.0,56.41,0.98,19.43,5.0,2.66,311.0,23.0,0.0,0.3,98.7175,4.655,34.0025,136.5,1.715,8.75,544.25,0.0,0.525,40.25
"Cake or cupcake, strawberry",1 cup,100.0,65.0,50.25,0.87,12.89,5.0,2.22,283.0,17.0,3.3,0.2,50.25,2.22,12.89,65.0,0.87,5.0,283.0,3.3,0.2,17.0
"Cake or cupcake, white with chocolate icing, bakery",1 cup,100.0,72.0,52.84,1.44,14.95,14.0,2.9,313.0,19.0,0.0,0.3,52.84,2.9,14.95,72.0,1.44,14.0,313.0,0.0,0.3,19.0
"Cake or cupcake, white with chocolate icing, from mix",1 regular cupcake,75.0,78.0,51.9,1.44,14.71,13.0,3.06,324.0,21.0,0.0,0.3,38.925,2.295,11.0325,58.5,1.08,9.75,243.0,0.0,0.225,15.75
"Cake or cupcake, white with white icing, bakery","1 large piece/slice, 1 layer cake",170.0,69.0,54.95,0.87,14.33,5.0,2.4,313.0,19.0,0.0,0.3,93.415,4.08,24.361,117.3,1.479,8.5,532.1,0.0,0.51,32.3
"Cake or cupcake, white with white icing, from mix",1 regular cupcake,75.0,76.0,53.78,0.94,14.16,5.0,2.62,325.0,21.0,0.0,0.3,40.335,1.965,10.62,57.0,0.705,3.75,243.75,0.0,0.225,15.75
"Cake or cupcake, white, no icing",1 regular cupcake,50.0,124.0,44.36,1.46,12.78,8.0,4.36,419.0,34.0,0.0,0.5,22.18,2.18,6.39,62.0,0.73,4.0,209.5,0.0,0.25,17.0
"Cake or cupcake, zucchini",1 cup,120.0,72.0,51.08,0.92,17.52,7.0,2.52,280.0,22.0,1.6,0.3,61.29599999999999,3.0239999999999996,21.024,86.4,1.104,8.4,336.0,1.92,0.36,26.4
"Cake, Boston cream pie",Quantity not specified,115.0,23.0,42.9,0.38,8.5,6.0,2.4,254.0,24.0,0.2,0.1,49.335,2.76,9.775,26.45,0.43700000000000006,6.9,292.1,0.23,0.115,27.6
"Cake, angel food",Quantity not specified,60.0,84.0,58.7,0.23,0.3,8.0,6.1,511.0,0.0,0.0,0.0,35.22,3.66,0.18,50.4,0.138,4.8,306.6,0.0,0.0,0.0
"Cake, chocolate, flourless",Quantity not specified,115.0,29.0,37.93,1.7,29.42,50.0,4.87,119.0,179.0,0.0,0.7,43.619499999999995,5.6005,33.833,33.35,1.955,57.5,136.85,0.0,0.805,205.85
"Cake, cream","1 piece/slice, any size",200.0,114.0,30.02,0.82,17.03,9.0,3.84,234.0,104.0,0.0,0.4,60.04,7.68,34.06,228.0,1.64,18.0,468.0,0.0,0.8,208.0
"Cake, fruit cake","1 piece/slice, any size",115.0,33.0,61.6,2.07,9.1,16.0,2.9,101.0,7.0,0.5,0.0,70.84,3.335,10.465,37.95,2.3804999999999996,18.4,116.15,0.575,0.0,8.05
"Cake, jelly roll",Quantity not specified,100.0,48.0,64.54,1.72,1.52,8.0,3.14,357.0,24.0,4.0,0.1,64.54,3.14,1.52,48.0,1.72,8.0,357.0,4.0,0.1,24.0
"Cake, pineapple, upside down",1 cup,120.0,80.0,39.11,0.94,12.18,10.0,2.38,214.0,71.0,1.5,0.3,46.931999999999995,2.856,14.616,96.0,1.128,12.0,256.8,1.8,0.36,85.2
"Cake, pound","1 piece/slice, any size",115.0,47.0,53.64,1.48,13.96,8.0,5.0,377.0,70.0,0.0,0.8,61.68600000000001,5.75,16.054000000000002,54.05,1.702,9.2,433.55,0.0,0.92,80.5
"Cake, sponge",1 cup,50.0,70.0,61.0,2.72,2.7,11.0,5.4,623.0,44.0,0.0,0.2,30.5,2.7,1.35,35.0,1.36,5.5,311.5,0.0,0.1,22.0
"Cake, strawberry shortcake","1 piece/slice, any size",175.0,55.0,40.09,1.6,4.73,10.0,3.31,313.0,51.0,12.4,0.2,70.15750000000001,5.7925,8.277500000000002,96.25,2.8,17.5,547.75,21.7,0.35,89.25
"Cake, torte",Quantity not specified,200.0,94.0,33.86,1.01,10.36,9.0,3.28,273.0,40.0,14.3,0.3,67.72,6.56,20.72,188.0,2.02,18.0,546.0,28.6,0.6,80.0
"Cake, tres leche",Quantity not specified,200.0,135.0,42.0,0.94,8.67,16.0,6.39,71.0,90.0,1.0,1.0,84.0,12.78,17.34,270.0,1.88,32.0,142.0,2.0,2.0,180.0
"Calamari, cooked",1 cup,135.0,40.0,3.83,0.85,6.25,41.0,19.36,270.0,32.0,4.7,0.0,5.1705,26.136,8.4375,54.0,1.1475,55.35,364.5,6.345,0.0,43.2
"Calamari, fried",1 cup,135.0,39.0,14.06,1.41,13.22,30.0,13.76,377.0,10.0,2.9,0.0,18.981,18.576,17.847,52.65,1.9035,40.5,508.95,3.915,0.0,13.5
"Calzone, with cheese, meatless",1 calzone or stromboli,424.0,390.0,29.49,2.12,22.51,26.0,17.59,672.0,187.0,0.0,0.3,125.0376,74.5816,95.44239999999999,1653.6,8.9888,110.24,2849.28,0.0,1.2719999999999998,792.88
"Calzone, with meat and cheese",Quantity not specified,106.0,177.0,31.31,2.64,17.69,22.0,14.84,434.0,113.0,0.0,0.3,33.188599999999994,15.7304,18.7514,187.62,2.7984000000000004,23.32,460.04,0.0,0.31799999999999995,119.78
"Canadian bacon, cooked","1 oz, cooked",28.35,7.0,1.8,0.56,2.78,27.0,28.31,993.0,0.0,0.0,0.2,0.5103,8.025884999999999,0.78813,1.9845000000000002,0.15876000000000004,7.6545000000000005,281.51550000000003,0.0,0.05670000000000001,0.0
"Candy, NFS",1 large/king size,120.0,49.0,86.62,0.78,8.26,17.0,1.95,43.0,15.0,0.0,0.0,103.94400000000002,2.34,9.911999999999999,58.8,0.936,20.4,51.6,0.0,0.0,18.0
"Candy, caramel",1 fun/snack size,15.0,87.0,82.36,0.47,5.7,20.0,3.1,144.0,6.0,0.2,0.0,12.354000000000001,0.465,0.855,13.05,0.0705,3.0,21.6,0.03,0.0,0.9
"Candy, cotton",1 cup,10.0,1.0,99.6,0.05,0.32,0.0,0.0,1.0,0.0,0.0,0.0,9.96,0.0,0.032,0.1,0.005,0.0,0.1,0.0,0.0,0.0
"Candy, fruit flavored pieces",1 pouch/regular size,60.0,2.0,94.39,0.15,2.28,2.0,0.1,26.0,0.0,0.0,0.0,56.63399999999999,0.06,1.3679999999999999,1.2,0.09,1.2,15.6,0.0,0.0,0.0
"Candy, fruit leather",1 miniature/bite size,10.0,32.0,85.8,1.01,3.0,20.0,0.1,317.0,6.0,120.0,0.0,8.58,0.01,0.3,3.2,0.10099999999999999,2.0,31.7,12.0,0.0,0.6
"Candy, fruit snacks",1 snack size/pouch/regular size,30.0,32.0,85.8,1.01,3.0,20.0,0.1,317.0,6.0,120.0,0.0,25.74,0.03,0.9,9.6,0.303,6.0,95.1,36.0,0.0,1.8
"Candy, gummy",1 snack size/pouch/regular size,60.0,3.0,98.9,0.4,0.0,1.0,0.0,44.0,0.0,0.0,0.0,59.34,0.0,0.0,1.8,0.24,0.6,26.4,0.0,0.0,0.0
"Candy, hard",1 miniature/bite size,15.0,3.0,98.0,0.3,0.2,3.0,0.0,38.0,0.0,0.0,0.0,14.7,0.0,0.03,0.45,0.045,0.45,5.7,0.0,0.0,0.0
"Candy, licorice",1 piece,5.0,3.0,98.9,0.4,0.0,1.0,0.0,44.0,0.0,0.0,0.0,4.945,0.0,0.0,0.15,0.02,0.05,2.2,0.0,0.0,0.0
"Candy, lollipop",Quantity not specified,10.0,3.0,98.0,0.3,0.2,3.0,0.0,38.0,0.0,0.0,0.0,9.8,0.0,0.02,0.3,0.03,0.3,3.8,0.0,0.0,0.0
"Candy, marshmallow",1 piece,8.0,3.0,81.3,0.23,0.2,2.0,1.8,80.0,0.0,0.0,0.0,6.504,0.14400000000000002,0.016,0.24,0.0184,0.16,6.4,0.0,0.0,0.0
"Candy, mint",Quantity not specified,6.0,2.0,98.3,0.15,0.1,2.0,0.0,19.0,0.0,0.0,0.0,5.898,0.0,0.006000000000000001,0.12,0.009,0.12,1.14,0.0,0.0,0.0
"Candy, non chocolate, other, NFS",1 stick,15.0,3.0,95.69,0.25,1.13,2.0,0.05,32.0,0.0,0.0,0.0,14.353499999999999,0.0075,0.16949999999999998,0.45,0.0375,0.3,4.8,0.0,0.0,0.0
"Candy, non chocolate, sugar free",Quantity not specified,15.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candy, nougat with nuts",1 pouch/regular size,60.0,63.0,72.64,1.25,13.34,61.0,8.38,132.0,0.0,0.2,0.0,43.583999999999996,5.0280000000000005,8.004,37.8,0.75,36.6,79.2,0.12,0.0,0.0
"Candy, peanut brittle",1 cup,160.0,27.0,71.24,1.22,18.98,42.0,7.57,445.0,39.0,0.0,0.0,113.984,12.112,30.368000000000002,43.2,1.952,67.2,712.0,0.0,0.0,62.4
"Candy, sprinkles",Quantity not specified,20.0,1.0,84.66,0.06,15.27,0.0,0.0,2.0,0.0,0.0,0.0,16.932,0.0,3.054,0.2,0.012,0.0,0.4,0.0,0.0,0.0
"Candy, taffy",1 pouch/regular size,60.0,2.0,87.88,0.01,4.12,0.0,0.2,6.0,0.0,0.0,0.0,52.727999999999994,0.12,2.472,1.2,0.006,0.0,3.6,0.0,0.0,0.0
"Cannelloni, cheese- and spinach-filled, no sauce",1 cup,208.0,99.0,18.36,1.51,6.51,35.0,6.31,618.0,118.0,5.8,0.2,38.1888,13.1248,13.540799999999999,205.92,3.1408,72.8,1285.44,12.063999999999998,0.41600000000000004,245.44
Canola oil,1 cup,224.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cantaloupe nectar,1 fl oz (NFS),31.0,5.0,15.64,0.16,0.11,6.0,0.33,13.0,69.0,3.0,0.0,4.848400000000001,0.1023,0.0341,1.55,0.0496,1.86,4.03,0.93,0.0,21.39
"Cantaloupe, raw",1 small wedge/slice,35.0,9.0,8.16,0.38,0.18,13.0,0.82,30.0,232.0,10.9,0.0,2.8560000000000003,0.287,0.063,3.15,0.133,4.55,10.5,3.815,0.0,81.2
Cape Cod,Quantity not specified,225.0,2.0,10.18,0.08,0.08,1.0,0.0,2.0,0.0,31.8,0.0,22.905,0.0,0.18,4.5,0.18,2.25,4.5,71.55,0.0,0.0
"Caramel dip, light",1 tablespoon,20.0,49.0,57.01,0.0,0.0,5.0,1.21,341.0,19.0,0.5,0.0,11.402000000000001,0.242,0.0,9.8,0.0,1.0,68.2,0.1,0.0,3.8
"Caramel dip, regular",1 tablespoon,20.0,45.0,48.47,0.01,12.33,5.0,1.16,368.0,130.0,0.4,0.1,9.693999999999999,0.23199999999999998,2.4659999999999997,9.0,0.002,1.0,73.6,0.08,0.02,26.0
Caribou,1 cup,135.0,22.0,0.0,6.12,4.38,27.0,29.53,367.0,0.0,3.0,0.0,0.0,39.865500000000004,5.912999999999999,29.7,8.262,36.45,495.45,4.05,0.0,0.0
"Carrot juice, 100%",Quantity not specified,240.0,24.0,9.28,0.46,0.15,14.0,0.95,66.0,956.0,8.5,0.0,22.272,2.28,0.36,57.6,1.104,33.6,158.4,20.4,0.0,2294.4
"Carrots, NS as to form, cooked","1 cup, mashed",235.0,31.0,10.36,0.15,3.0,12.0,0.96,214.0,812.0,5.1,0.0,24.346,2.256,7.05,72.85,0.3525,28.2,502.9,11.985,0.0,1908.2
"Carrots, canned, cooked with butter or margarine",Quantity not specified,80.0,25.0,5.39,0.62,2.38,8.0,0.64,252.0,565.0,2.4,0.1,4.312,0.512,1.9039999999999997,20.0,0.496,6.4,201.6,1.92,0.08,452.0
"Carrots, canned, cooked with oil","1 cup, mashed",235.0,24.0,5.38,0.63,3.1,8.0,0.62,235.0,542.0,2.4,0.0,12.642999999999999,1.4569999999999999,7.285,56.4,1.4805000000000001,18.8,552.25,5.64,0.0,1273.7
"Carrots, canned, cooked, fat added, NS as to fat type",1 cup,160.0,25.0,5.38,0.62,2.74,8.0,0.63,244.0,553.0,2.4,0.0,8.607999999999999,1.008,4.384,40.0,0.992,12.8,390.4,3.84,0.0,884.8
"Carrots, canned, cooked, no added fat","1 cup, mashed",230.0,25.0,5.54,0.64,0.19,8.0,0.64,242.0,558.0,2.4,0.0,12.742,1.4720000000000002,0.43700000000000006,57.5,1.4720000000000002,18.4,556.6,5.52,0.0,1283.4
"Carrots, canned, reduced sodium, cooked with butter or margarine",1 piece/slice,5.0,31.0,5.21,0.51,2.33,9.0,0.59,50.0,565.0,1.7,0.1,0.2605,0.0295,0.1165,1.55,0.0255,0.45,2.5,0.085,0.005,28.25
"Carrots, canned, reduced sodium, cooked with oil",1 cup,160.0,30.0,5.2,0.51,3.05,9.0,0.57,33.0,542.0,1.7,0.0,8.32,0.9119999999999999,4.88,48.0,0.816,14.4,52.8,2.72,0.0,867.2
"Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type",Quantity not specified,80.0,30.0,5.21,0.51,2.69,9.0,0.58,42.0,553.0,1.7,0.0,4.168,0.46399999999999997,2.1519999999999997,24.0,0.408,7.2,33.6,1.36,0.0,442.4
"Carrots, canned, reduced sodium, cooked, no added fat","1 cup, mashed",230.0,31.0,5.36,0.52,0.14,9.0,0.59,34.0,558.0,1.8,0.0,12.328000000000001,1.357,0.322,71.3,1.1960000000000002,20.7,78.2,4.14,0.0,1283.4
"Carrots, cooked, from restaurant",1 cup,160.0,30.0,10.15,0.15,4.67,12.0,0.94,292.0,803.0,5.0,0.0,16.24,1.5039999999999998,7.472,48.0,0.24,19.2,467.2,8.0,0.0,1284.8
"Carrots, fresh, cooked with butter or margarine",1 baby carrot,10.0,31.0,10.37,0.15,2.63,12.0,0.96,223.0,824.0,5.1,0.1,1.037,0.096,0.26299999999999996,3.1,0.015,1.2,22.3,0.51,0.01,82.4
"Carrots, fresh, cooked with oil","1 cup, mashed",235.0,30.0,10.36,0.16,3.38,12.0,0.95,205.0,800.0,5.1,0.0,24.346,2.2325,7.943,70.5,0.376,28.2,481.75,11.985,0.0,1880.0
"Carrots, fresh, cooked, fat added, NS as to fat type",1 baby carrot,10.0,31.0,10.36,0.15,3.0,12.0,0.96,214.0,812.0,5.1,0.0,1.036,0.096,0.3,3.1,0.015,1.2,21.4,0.51,0.0,81.2
"Carrots, fresh, cooked, no added fat",Quantity not specified,78.0,31.0,10.67,0.16,0.36,12.0,0.98,211.0,824.0,5.2,0.0,8.3226,0.7644,0.2808,24.18,0.12480000000000001,9.36,164.58,4.056,0.0,642.72
"Carrots, frozen, cooked with butter or margarine",1 piece/slice,5.0,33.0,7.68,0.42,2.64,11.0,0.8,193.0,842.0,2.1,0.0,0.384,0.04,0.132,1.65,0.021,0.55,9.65,0.105,0.0,42.1
"Carrots, frozen, cooked with oil",1 cup,160.0,32.0,7.67,0.42,3.36,11.0,0.78,176.0,819.0,2.1,0.0,12.272,1.2480000000000002,5.376,51.2,0.672,17.6,281.6,3.36,0.0,1310.4
"Carrots, frozen, cooked, fat added, NS as to fat type",Quantity not specified,80.0,32.0,7.67,0.42,3.0,11.0,0.79,185.0,830.0,2.1,0.0,6.136,0.632,2.4,25.6,0.336,8.8,148.0,1.68,0.0,664.0
"Carrots, frozen, cooked, no added fat",1 piece/slice,5.0,33.0,7.9,0.43,0.47,11.0,0.81,182.0,843.0,2.2,0.0,0.395,0.04050000000000001,0.023499999999999997,1.65,0.0215,0.55,9.1,0.11,0.0,42.15
"Carrots, glazed, cooked",1 cup,160.0,35.0,17.32,0.2,2.78,12.0,0.9,214.0,756.0,4.6,0.0,27.712,1.44,4.4479999999999995,56.0,0.32,19.2,342.4,7.36,0.0,1209.6
"Carrots, raw",1 single serving bag,80.0,36.0,9.68,0.12,0.24,12.0,0.87,75.0,762.0,4.2,0.0,7.744,0.696,0.192,28.8,0.096,9.6,60.0,3.36,0.0,609.6
"Carrots, raw, salad",Quantity not specified,88.0,30.0,17.62,0.39,15.74,13.0,1.25,189.0,521.0,6.1,0.0,15.505600000000001,1.1,13.8512,26.4,0.3432,11.44,166.32,5.367999999999999,0.0,458.48
"Carrots, raw, salad with apples",1 cup,171.0,23.0,8.59,0.16,16.02,9.0,0.85,189.0,532.0,6.4,0.0,14.688899999999999,1.4535,27.3942,39.33,0.2736,15.39,323.19,10.944,0.0,909.72
"Casabe, cassava bread","1 piece (6"" dia)",100.0,31.0,71.22,0.5,0.52,39.0,2.54,1185.0,2.0,28.9,0.0,71.22,2.54,0.52,31.0,0.5,39.0,1185.0,28.9,0.0,2.0
Cashew butter,1 tablespoon,16.0,61.0,30.3,4.91,53.03,206.0,12.12,295.0,0.0,0.0,0.0,4.848,1.9391999999999998,8.4848,9.76,0.7856000000000001,32.96,47.2,0.0,0.0,0.0
